1000 -3.00000
  13.06842 19.91532 21.71443 -1
  23.49189 25.25042  5.58307 -1
  25.80850  2.90969 29.12998 -1
  26.97447 30.68068 20.05383 -1
  30.45311 18.15303 11.72581 -1
  29.03313  6.43704 19.46972 -1
  25.61741 21.35863 16.42209 -1
  13.97028 13.31870  9.07399 -1
  15.90217 17.44688  5.74186 -1
  31.05233 26.91638 31.43912 -1
  30.36801 13.90896 29.92555 -1
   0.47618  0.85500 12.76778 -1
  20.88861  9.99555 20.69534 -1
  14.34274 24.47900  8.50321 -1
  15.57308 31.68234  0.53871 -1
  28.23285 28.29776  6.66060 -1
  20.96343 27.62155  9.39208 -1
  12.10365 27.84510 10.58778 -1
  24.17102 17.48686 12.29832 -1
   8.36888  0.45365 12.76705 -1
  25.97836  9.28232  6.04204 -1
  29.49489 13.07655 14.05267 -1
   0.70211  9.25000 20.20561 -1
  20.44740 18.25660 18.22944 -1
  19.66643 23.74248 29.21659 -1
  12.35866 19.45064 26.72836 -1
   3.99023 10.29401 15.06077 -1
   0.55336 27.22908 23.32415 -1
  14.68519 20.65711  4.41955 -1
  29.92513 14.59357  8.28423 -1
  21.49812  2.78616 30.68109 -1
  29.25846 23.76388  2.37584 -1
   1.97504  1.58771  8.12632 -1
  29.49996  7.73890 27.88754 -1
   0.95218  6.88770  7.87990 -1
  16.58831 27.61065 14.53898 -1
  30.04688 10.21228  5.30455 -1
   9.37625 13.63852 10.64309 -1
  16.86225 10.79612 31.77118 -1
  14.83709 28.86154 21.02980 -1
  16.33953  9.20800 10.45436 -1
   3.48601 26.17800 21.04728 -1
  26.64771 27.91729 30.94880 -1
  16.74411 28.03613  2.06632 -1
  19.42888 10.80841 16.80625 -1
  18.86170 22.49098 10.03036 -1
   8.42301  0.42089 27.10939 -1
  13.11450 26.74132 23.14836 -1
   0.36679  7.52296 31.20424 -1
  15.90731 30.14512  5.84597 -1
  15.65783 15.22681 12.15251 -1
  23.47351  4.02008 19.81008 -1
  12.33001 17.00973  3.81988 -1
   9.33813 13.21534 15.22751 -1
   3.69010 30.87592 10.88187 -1
   6.49983  3.92237  6.64198 -1
   7.15789 18.41472 12.73948 -1
   8.90415 24.60521 17.12326 -1
   0.69548 20.82106 14.71410 -1
  27.43336 24.70856 25.48283 -1
  25.89725  6.43822 27.78667 -1
   2.06017 22.17594  7.81986 -1
  24.50307 22.91991 22.99195 -1
  31.17081  9.85459 16.56295 -1
  29.99032 31.59491  9.87492 -1
  13.83765  9.31175 24.19114 -1
  23.14139  6.42705 30.82042 -1
   7.95813 28.39002 11.84864 -1
  29.02106 29.28467 23.21631 -1
  17.25168 26.35705 18.38872 -1
  16.07130  4.66799 11.10567 -1
  23.91012  1.40797  3.42964 -1
   9.71991  2.95840  8.15451 -1
  17.78288 24.78215 25.15928 -1
   2.05443  5.21314 18.98429 -1
   2.97941 23.16273 23.74950 -1
  18.83926  1.18723 28.14031 -1
   3.03138 11.74303 30.82175 -1
  15.22237  7.25453 29.69342 -1
  17.05362 31.34385 20.45443 -1
   8.93531 20.77485 15.72626 -1
  20.96168 18.78620  9.89573 -1
  22.15602  4.34773 14.37707 -1
  17.09606  4.74183 15.44445 -1
  21.01077  9.38958 29.51674 -1
  26.34893 17.49179 29.61648 -1
  23.80744 17.81236  5.98712 -1
  22.24739 31.20498 10.60233 -1
   8.29065 16.66399  7.02413 -1
   5.00661 28.85967 14.55253 -1
   6.52634 24.38027 29.18291 -1
  16.17974 19.60345 18.22604 -1
  31.18473 15.41967 16.19506 -1
   4.60180  8.28801 11.20666 -1
  22.62299 26.80488 29.04442 -1
  21.66556 13.92987 18.14948 -1
   6.66421  2.97523 24.07923 -1
  15.46658 15.63499 28.34950 -1
  13.72297 20.20808  0.96556 -1
  17.42264  9.04040  5.09708 -1
   4.23325  9.69226 28.07946 -1
  25.75295 26.37849 21.75143 -1
   8.22946 21.00389 28.49509 -1
  19.60369 30.43098 23.65418 -1
  24.78969 12.61604 20.54714 -1
  28.56080 26.63655 14.45309 -1
   7.27489  5.43250 27.45128 -1
   7.40093 25.91922 20.63223 -1
  27.87427  1.03578 31.82225 -1
   2.09826  1.88413  4.55930 -1
  15.68556  9.43064 14.83243 -1
   0.83674 19.08087 27.19505 -1
  13.04856 24.62951  1.01917 -1
   6.67128  8.85779 25.42500 -1
  13.01823  3.80185 26.17104 -1
   9.41957  6.11249 23.50254 -1
  25.79476  3.99035  1.52263 -1
  31.76441 15.36467 25.94382 -1
  11.29237 14.21844  6.95425 -1
  31.37913 23.51635 10.91762 -1
  21.05637 31.61793 18.86929 -1
  11.74057 24.41269 13.67851 -1
   3.56376 16.48651 17.34591 -1
  17.70588 11.96788 27.52060 -1
   6.66891 10.45049  1.76887 -1
   2.16295 12.90117 16.90504 -1
  10.87688 14.30661 23.89834 -1
  21.80839 25.63192 20.17231 -1
   4.23385  0.67316 27.23282 -1
